Latitude,Longtitude,Height,Packet Interval (ms),Data Rate (kbps)
48.182053,11.613817,0,0.071,2052.18
48.182054,11.613816,0,0.104,2274.95
48.182056,11.613817,0.2,6.399,3077.37
48.182056,11.613816,0.6,31.679,2932.66
48.182055,11.613815,1.1,12.684,2648.67
48.182054,11.613817,1.2,18.089,2956.33
48.182053,11.613818,1.2,5.701,3470.85
48.182053,11.613817,2.4,20.973,1417.38
48.182053,11.613817,4.5,39.472,2463.26
48.182053,11.613817,6.5,13.444,2570.98
48.182052,11.613818,8.5,34.194,3051.98
48.182051,11.613819,10,35.698,2876.63
48.182051,11.613817,9.8,23.207,2803.35
48.182059,11.613819,9.9,35.934,1919.93
48.182071,11.613823,9.9,2.709,2752.71
48.182084,11.613832,9.9,30.057,2745.73
48.182093,11.613842,9.9,0.038,2009.47
48.182102,11.61386,9.9,124.875,1618.83
48.182111,11.613883,9.9,12.556,1725.29
48.182124,11.613905,10,23.203,2116.83
48.182143,11.613926,9.9,53.54,2262.5
48.18216,11.613945,9.9,0.021,2852.71
48.182179,11.61396,9.9,23.646,3009.01
48.182186,11.613967,9.9,40.566,3193.84
48.182185,11.613965,9.8,7.772,1931.16
48.182183,11.613963,9.8,0.029,2875.45
48.182175,11.613959,9.8,9.086,1941.02
48.182162,11.613953,9.8,54.609,1393.01
48.182146,11.613946,9.9,26.679,1281.62
48.182126,11.61394,9.9,67.141,1926.89
48.182106,11.613932,10,15.047,1812.1
48.182084,11.613924,10.1,38.876,2528.97
48.182062,11.613914,10.1,9.822,2068.98
48.182039,11.613903,10.1,7.223,2502.66
48.182019,11.613889,10,10.519,1997.25
48.182001,11.613872,10,0.034,2254.72
48.181984,11.613854,10,0.027,2932.05
48.181969,11.613833,10,0.023,2929.6
48.181954,11.613811,9.9,0.032,3136.18
48.181941,11.613789,10,8.33,2338.84
48.181928,11.613766,10.1,4.694,3137.7
48.181918,11.613748,10.1,0.963,2419.77
48.181916,11.613749,9.9,0.036,2721.99
48.181916,11.613749,10.9,0.207,2030.46
48.181916,11.613751,12.8,142.707,1724.31
48.181916,11.613755,14.8,13.169,1149.97
48.181916,11.613754,16.8,0.251,1408.22
48.181915,11.613754,18.8,2.406,2011.67
48.181915,11.613753,20.8,30.401,2583.54
48.181914,11.613754,22.9,3.579,2669.39
48.181913,11.613754,24.9,39.599,2715.04
48.181912,11.613755,25.8,15.639,780.144
48.181911,11.613755,25.9,730.461,2968.1
48.181916,11.613759,25.9,34.179,2051.25
48.181926,11.613766,25.9,42.235,1639.28
48.181937,11.613777,25.8,38.976,2358.16
48.181949,11.613793,25.7,37.712,1916.37
48.181959,11.613812,25.6,19.976,2918.72
48.181969,11.613834,25.6,20.265,1529.43
48.181981,11.613856,25.6,30.202,2102.58
48.181995,11.613877,25.7,0.017,2193.6
48.182012,11.613894,25.7,3.383,2208.5
48.182031,11.613913,25.8,99.083,1519.27
48.182048,11.613931,25.7,28.075,2025.54
48.182065,11.613949,25.7,35.259,2393.2
48.182078,11.613965,25.7,209.758,800.128
48.182097,11.613988,25.7,10.507,1863.55
48.182113,11.614009,25.7,179.871,1319.67
48.182129,11.614029,25.7,112.219,1011.39
48.182144,11.614052,25.7,419.295,626.192
48.18215,11.614063,25.8,38.847,1799.07
48.18215,11.614061,25.7,39.194,1886.59
48.18215,11.614061,26.2,674.315,539.264
48.18215,11.614061,28,119.765,1668.27
48.18215,11.614062,30,109.651,1178.72
48.18215,11.614063,31.9,129.97,828.416
48.18215,11.614062,33.9,17.097,1767.02
48.18215,11.614062,36,10.716,1416.01
48.18215,11.614062,38,131.234,711.52
48.182149,11.614062,40,12.893,848
48.18215,11.614062,42.1,2.709,1450.92
48.182149,11.614061,44.1,30.206,1749.08
48.18215,11.614061,46.1,139.891,717.128
48.18215,11.614061,48.1,424.544,90.176
48.18215,11.614061,49.2,749.961,7.984
48.18215,11.614061,49.2,639.967,0.928
48.18215,11.614061,49.2,840.031,28.472
48.18215,11.614061,49.2,609.94,19.24
48.182151,11.614059,50,390.007,88.68
48.182151,11.614059,50,1039.449,31.2
48.182151,11.614059,50,299.845,32.568
48.182151,11.614059,50,609.986,329.304
48.182151,11.614059,49.9,0.022,1326.47
48.182151,11.614058,49.9,1.9,1811.58
48.182152,11.614058,49.9,37.832,1284.37
48.18215,11.614056,49.9,19.549,833.688
48.182143,11.614048,49.9,49.552,830.656
48.182131,11.614036,49.8,16.062,560.28
48.182117,11.614022,49.9,292.044,117.104
48.182111,11.614016,49.9,350.137,69.984
48.182082,11.61399,50.1,0.019,1101.44
48.182063,11.613973,50,6.165,1141.32
48.182043,11.613956,50,162.548,1384.14
48.182023,11.61394,50,0.087,736.232
48.182011,11.61393,50,0.016,135.288
48.182011,11.61393,50,0.016,0
48.182011,11.61393,50,0.016,0
48.181878,11.613829,49.9,13.781,12.112
48.181878,11.613829,49.9,13.781,274.792
48.181878,11.613829,49.9,13.781,1192.29
48.181878,11.613829,49.9,13.781,853.112
48.181859,11.613816,50,1.792,1523.58
48.181838,11.613801,49.9,18.4,1367.9
48.181818,11.613787,49.9,66.041,260.952
48.181808,11.613781,49.9,0.017,278.192
48.181809,11.61378,50,119.822,186.536
48.181809,11.61378,49.9,289.887,381.96
48.181808,11.61378,49,0.023,642.8
48.181808,11.613781,48,99.509,1378.62
48.181808,11.61378,47,0.052,1340.12
48.181808,11.613781,46,19.394,2246.81
48.181808,11.613781,45,0.047,1959.47
48.181808,11.613781,44,99.192,1439.17
48.181808,11.613781,43,1.5,1543.62
48.181808,11.613781,42,0.188,2374.83
48.181808,11.613781,40.9,0.034,2704.81
48.181808,11.613782,39.9,0.109,3165.54
48.181807,11.613782,39,0.031,2947.62
48.181807,11.613783,38,12.262,1738.66
48.181807,11.613783,36.9,14.93,2366.98
48.181806,11.613783,35.9,0.212,2641.97
48.181807,11.613783,34.9,0.247,3109.27
48.181807,11.613783,33.9,0.059,1476.14
48.181808,11.613784,32.9,0.021,2533.08
48.181812,11.613789,32,9.508,2606.26
48.181817,11.613793,31,0.018,2777.06
48.181817,11.613793,29.9,3.354,2489.23
48.181818,11.613793,28.8,11.137,2963.42
48.181818,11.613793,27.8,0.16,2577.18
48.18182,11.613795,26.8,4.404,1727.61
48.181828,11.613801,25.9,0.116,2757.98
48.181831,11.613804,24.9,1.227,3127.03
48.181831,11.613805,23.6,2.339,2627.46
48.181831,11.613805,22.5,35.878,2799.34
48.181831,11.613804,21.5,28.312,3387.76
48.181831,11.613804,20.5,21.805,2318.92
48.181831,11.613804,19.6,16.064,2671.84
48.181831,11.613805,18.6,14.321,2520.91
48.18183,11.613804,17.7,6.967,3192.8
48.18183,11.613804,16.8,10.269,1362.94
48.18183,11.613804,15.8,27.36,2348.87
48.18183,11.613804,14.9,38.755,2471.05
48.181831,11.613805,14,26.898,3103.12
48.181831,11.613805,13,34.71,2849.06
48.181832,11.613805,12.1,17.908,3187.2
48.181832,11.613805,11.1,4.224,2888.43
48.181833,11.613806,10.1,12.717,2720.3
48.181833,11.613806,9.2,41.391,2438.91
48.181833,11.613806,8.2,36.681,3021.75
48.181833,11.613806,7.1,12.432,3112.74
48.181833,11.613805,7,28.526,2495.93
48.181833,11.613804,7.2,13.072,1633.46
48.181833,11.613803,9,62.979,1272.65
48.181832,11.613805,10.1,0.628,1917.43
48.181833,11.613806,10.4,140.98,1237.89
48.181835,11.613804,10.3,50.446,1296.62
48.181838,11.613804,10.5,1.449,1234.28
48.181838,11.613805,12.2,35.228,2116.83
48.181839,11.613807,11.3,0.019,2329.98
48.18184,11.613806,10.4,0.177,2417.3
48.181839,11.613805,10.2,0.215,2672.02
48.181838,11.613808,10.2,15.838,2332.31
48.181836,11.613822,10.2,19.777,2268.15
48.181832,11.613841,10.2,0.12,2563.08
48.181825,11.613866,10.3,0.48,2463.52
48.181817,11.613893,10.3,0.036,2247.95
48.18181,11.613923,10.4,6.085,1995.84
48.181807,11.613932,10.3,12.916,2237.94
48.181807,11.613932,10.3,18.054,3176.78
48.181808,11.613933,10.2,13.912,1513.68
48.181814,11.613939,10.2,0.036,2479.21
48.181826,11.61395,10.3,0.034,2702.26
48.18184,11.613964,10.3,0.039,2584.1
48.181857,11.61398,10.3,19.398,1786.14
48.181874,11.613999,10.3,12.289,2777.52
48.181892,11.614019,10.3,3.736,2721.42
48.181912,11.61404,10.3,25.014,3046.2
48.181931,11.614061,10.3,29.897,2871.56
48.181951,11.614084,10.3,3.615,887.384
48.181971,11.614105,10.3,691.599,1630.93
48.181985,11.61412,10.1,1.058,1740.73
48.182001,11.614138,10.2,3.07,1874.58
48.182018,11.614156,10.2,3.999,308.688
48.182033,11.614172,10.2,0.025,1843.32
48.182056,11.614198,10.3,0.069,1449.49
48.182076,11.614221,10.3,17.807,2112.18
48.182081,11.61423,10.2,140.432,2180.14
48.182079,11.614231,10.1,31.338,1550.02
48.182079,11.61423,11.8,40.513,2180.57
48.18208,11.614231,13.8,38.639,3182.59
48.18208,11.614231,15.6,39.564,2547.7
48.18208,11.614231,17.6,22.129,3125.08
48.182079,11.614231,19.5,22.704,2510.12
48.182079,11.614232,21.5,20.24,1877.05
48.182078,11.614232,23.5,18.343,2547.15
48.182078,11.614232,25.4,110.125,2574.02
48.182078,11.614232,25.7,23.174,3046.55
48.182076,11.614231,25.8,2.872,2256.11
48.182067,11.614223,25.8,37.686,2702.1
48.182055,11.614211,25.8,0.028,173.2
48.182043,11.614199,25.9,58.009,1913.15
48.18203,11.614184,25.8,0.498,1519.78
48.182015,11.614167,25.8,0.188,2003.4
48.181998,11.614148,25.7,15.857,1115.61
48.181979,11.614129,25.7,14.417,1523.28
48.18196,11.614108,25.7,0.072,2243.16
48.18194,11.614087,25.7,0.19,3034.21
48.18192,11.614065,25.7,23.678,1787.64
48.181899,11.614043,25.7,1.147,2626.86
48.181879,11.614023,25.7,9.499,1416.44
48.181859,11.614004,25.7,97.209,1871.44
48.181838,11.613985,25.7,18.548,1815.45
48.181817,11.613968,25.7,3.62,2011.82
48.181796,11.61395,25.7,0.53,1140.59
48.181783,11.61394,25.6,0.905,1047.42
48.181784,11.613939,25.6,137.958,1021.69
48.181784,11.613939,26,144.619,1106.32
48.181784,11.61394,27.8,0.32,1187.31
48.181784,11.613941,29.8,0.548,1204.22
48.181784,11.613942,31.6,0.479,980.976
48.181784,11.613941,33.6,27.293,1093.58
48.181784,11.613941,35.6,0.027,1855.5
48.181783,11.61394,37.6,2.17,1636.62
48.181783,11.61394,39.5,33.461,1554.26
48.181783,11.61394,41.5,1.328,1574.26
48.181783,11.61394,43.6,4.438,2222.34
48.181783,11.61394,45.6,19.742,1509.23
48.181783,11.61394,47.6,8.725,1617.65
48.181783,11.61394,49.1,11.662,1197.62
48.181783,11.613939,49.6,16.67,785.28
48.181782,11.613939,49.7,2.134,993.384
48.181782,11.613939,49.7,8.953,1218.35
48.181789,11.613946,49.8,13.834,1385.64
48.1818,11.613957,49.9,27.995,1363.66
48.181814,11.613972,49.8,0.711,917
48.18183,11.61399,49.7,1.926,1408.94
48.181848,11.61401,49.8,27.746,1047.5
48.181867,11.614031,49.7,32.665,634.664
48.181886,11.614053,49.7,14.383,662.056
48.181906,11.614075,49.7,18.477,459.232
48.181926,11.614097,49.7,20.578,787.536
48.181947,11.61412,49.7,170.601,148.32
48.181968,11.614143,49.6,279.867,85
48.181988,11.614166,49.6,339.592,134.696
48.182009,11.614189,49.6,530.008,50.12
48.182029,11.614211,49.6,499.944,383.64
48.182049,11.614234,49.6,250.149,49.224
48.182069,11.614256,49.6,1140.257,30.392
48.182085,11.614275,49.6,719.792,74.6
48.182102,11.614294,49.6,0.061,440
48.182121,11.614315,49.6,5.347,71.816
48.182139,11.614334,49.7,1026.428,362.696
48.182152,11.614349,49.7,98.499,879.752
48.182163,11.614364,49.7,250.781,179.864
48.182161,11.614366,49.6,379.595,238.664
48.18216,11.614366,49.6,950.008,48.432
48.18216,11.614366,49.6,519.993,266.216
48.182159,11.614365,49.6,110.749,1111.9
48.182158,11.614363,49.6,43.525,310.688
48.182153,11.614357,49.6,31.44,198.016
48.182143,11.614348,49.7,20.592,68.264
48.182142,11.614345,49.7,259.868,87.56
48.182142,11.614344,49.7,162.446,119.12
48.182144,11.614344,49.7,0.019,1112.78
48.182144,11.614345,49.7,9.755,1258.58
48.182145,11.614345,49.7,18.957,1035.05
48.182146,11.614346,49.7,2.348,1100.83
48.182146,11.614345,49.7,4.566,1134.05
48.182146,11.614345,49.7,1.976,1141.38
48.182147,11.614345,49.7,3.839,1413.94
48.182148,11.614344,49.7,0.181,1460.07
48.182143,11.614323,49.7,1.589,1196.93
48.182135,11.614278,49.7,0.103,810.664
48.182124,11.614216,49.6,43.977,1542.91
48.182112,11.614146,49.5,4.858,868.224
48.182101,11.61408,49.6,161.638,1150.63
48.182091,11.614023,49.8,10.474,931.624
48.182082,11.613972,49.8,7.135,1505.34
48.182074,11.613929,49.8,12.047,1909.05
48.182068,11.613894,49.8,11.526,1404.24
48.182063,11.613865,49.8,0.05,1917.42
48.182059,11.613845,49.8,22.975,2001.55
48.182057,11.613833,49.7,27.161,2388.22
48.182057,11.613828,49.7,12.722,1372
48.182056,11.613825,49.7,35.926,1956.28
48.182055,11.613823,49.7,12.332,1945.66
48.182055,11.613822,49.7,34.975,2357.33
48.182054,11.61382,49.8,26.692,1118.37
48.182054,11.613819,49.8,59.257,1786.09
48.182053,11.613819,49.7,30.301,1601.63
48.182052,11.613819,49.7,169.762,1114.53
48.182051,11.61382,49.7,279.858,883.872
48.182049,11.613821,49.6,8.238,1281.26
48.182048,11.613822,49.6,9.988,1618.9
48.182048,11.613823,48.7,1.041,1166.93
48.182048,11.613824,46.8,3.033,1203.28
48.182048,11.613826,43.8,19.314,1829.76
48.182048,11.613826,40.9,13.894,1959.98
48.182047,11.613825,37.8,31.881,2555.21
48.182047,11.613824,35,9.632,1014.22
48.182047,11.613825,32.4,24.144,2389.98
48.182048,11.613825,30.1,1.032,2218.32
48.182049,11.613824,27.8,0.078,2556.64
48.182049,11.613825,25.8,19.839,2587.37
48.18205,11.613825,23.9,0.055,1655.56
48.18205,11.613824,22.2,5.124,2198.15
48.182051,11.613825,20.4,0.706,1435.29
48.182051,11.613825,19.1,0.021,1437.86
48.182051,11.613826,17.6,0.056,1350.85
48.182051,11.613826,16.2,2.028,2178.25
48.182051,11.613826,14.8,8.044,1101.57
48.182051,11.613826,13.5,0.026,2330.48
48.182052,11.613826,12.2,0.074,2105.39
48.182052,11.613826,10.9,10.478,1919.32
48.182053,11.613826,9.6,1.613,1095.52
48.182054,11.613826,8.4,0.182,1959
48.182054,11.613827,7.3,5.636,2175.32
48.182055,11.613827,6.2,0.113,2473.78
48.182055,11.613827,5.1,0.039,2250.78
48.182056,11.613826,4,1.049,2526.33
48.182056,11.613827,3,0.039,3098.9
48.182056,11.613827,1.9,0.191,3230.2
48.182057,11.613827,1,0.309,3759.54
48.182057,11.613827,0.9,14.374,3413.18
48.182057,11.613827,0.7,0.395,3437.79
48.182057,11.613827,0.5,4.723,3003.98
48.182056,11.613827,0.3,38.117,3438.71
48.182056,11.613827,0.1,33.324,3301.96
48.182057,11.613827,0,29.943,3615.66
48.182057,11.613827,-0.2,12.077,3043.27
48.182056,11.613827,-0.3,38.599,3713.98
48.182056,11.613826,-0.5,30.752,2872.14
48.182056,11.613826,-0.7,0.064,3571.28
48.182056,11.613825,-0.9,146.598,2809.62
48.182056,11.613825,-1.1,151.034,1139.67
48.182057,11.613825,-1.2,158.608,673.672
