avg_OSD.flyTime [s],avg_OSD.height [m],stdDev_OSD.flyTime [s],stdDev_OSD.height [m]
197.65,0,0.170782513,0
198.45,0,0.287228132,0
199.45,0.05,0.287228132,0.05
200.45,0.19,0.287228132,0.083066239
201.45,0.55,0.287228132,0.102469508
202.45,0.92,0.287228132,0.12489996
203.45,1.28,0.287228132,0.04
204.45,1.3,0.287228132,2.22E-16
205.45,1.3,0.287228132,2.22E-16
206.45,1.3,0.287228132,2.22E-16
207.45,1.38,0.287228132,0.04
208.45,1.46,0.287228132,0.048989795
209.45,1.4,0.287228132,0
210.55,1.4,0.229128785,0
211.45,1.59,0.287228132,0.216564078
212.45,2.98,0.287228132,0.505568986
213.45,4.68,0.287228132,0.481248377
214.45,6.36,0.287228132,0.488262225
215.45,8.08,0.287228132,0.505568986
216.45,9.83,0.287228132,0.517783739
217.45,11.06,0.287228132,0.128062485
218.45,11.12,0.287228132,0.074833148
219.45,11.06,0.287228132,0.048989795
220.45,11.02,0.287228132,0.04
221.45,11.01,0.287228132,0.03
222.45,11.07,0.287228132,0.045825757
223.45,11.08,0.287228132,0.04
224.45,11.1,0.287228132,1.78E-15
225.45,11.02,0.287228132,0.04
226.45,11.07,0.287228132,0.045825757
227.45,11.1,0.287228132,1.78E-15
228.45,11.02,0.287228132,0.04
229.45,11.09,0.287228132,0.03
230.4,11,0.25819889,0
231.45,10.97,0.287228132,0.045825757
232.45,11,0.287228132,0
233.45,10.97,0.287228132,0.045825757
234.45,11,0.287228132,0
235.45,11,0.287228132,0
236.45,10.96,0.287228132,0.048989795
237.45,10.99,0.287228132,0.03
238.45,11,0.287228132,0
239.45,11,0.287228132,0
240.45,11,0.287228132,0
241.45,11,0.287228132,0
242.45,11.02,0.287228132,0.04
243.45,11.09,0.287228132,0.094339811
244.45,12.4,0.287228132,0.574456265
245.45,14.4,0.287228132,0.574456265
246.45,16.4,0.287228132,0.574456265
247.45,18.46,0.287228132,0.616765758
248.45,20.54,0.287228132,0.616765758
249.45,22.54,0.287228132,0.533291665
250.45,24.11,0.287228132,0.23
251.45,24.74,0.287228132,0.162480768
252.45,24.8,0.287228132,0.126491106
253.45,24.68,0.287228132,0.04
254.45,24.73,0.287228132,0.045825757
255.45,24.77,0.287228132,0.045825757
256.45,24.71,0.287228132,0.03
257.45,24.7,0.287228132,3.55E-15
258.4555556,24.7,0.3022549,0
259.45,24.7,0.287228132,3.55E-15
260.45,24.7,0.287228132,3.55E-15
261.45,24.77,0.287228132,0.045825757
262.45,24.8,0.287228132,3.55E-15
263.45,24.8,0.287228132,3.55E-15
264.45,24.8,0.287228132,3.55E-15
265.45,24.8,0.287228132,3.55E-15
266.45,24.81,0.287228132,0.03
267.45,24.9,0.287228132,0
268.45,24.81,0.287228132,0.03
269.45,24.91,0.287228132,0.094339811
270.45,26.19,0.287228132,0.573498038
271.45,28.17,0.287228132,0.598414572
272.45,30.2,0.287228132,0.574456265
273.45,32.17,0.287228132,0.53860932
274.45,34.13,0.287228132,0.611637147
275.45,36.2,0.287228132,0.574456265
276.45,38.25,0.287228132,0.618465844
277.45,40.33,0.287228132,0.611637147
278.45,42.31,0.287228132,0.510783712
279.45,44.1,0.287228132,0.501996016
280.45,45.78,0.287228132,0.481248377
281.45,47.4,0.287228132,0.435889894
282.45,48.74,0.287228132,0.303973683
283.45,49.55,0.287228132,0.174642492
284.45,49.85,0.287228132,0.05
285.45,49.94,0.287228132,0.048989795
286.45,49.97,0.287228132,0.045825757
287.45,50,0.287228132,0
288.45,50.1,0.287228132,7.11E-15
289.45,50.1,0.287228132,7.11E-15
290.45,50.1,0.287228132,7.11E-15
291.45,50.1,0.287228132,7.11E-15
292.45,50.1,0.287228132,7.11E-15
293.45,50.1,0.287228132,7.11E-15
294.3428571,50.05714286,0.244114393,0.049487166
295.45,50.07,0.287228132,0.045825757
296.45,50,0.287228132,0
297.45,50,0.287228132,0
298.45,50,0.287228132,0
299.45,50,0.287228132,0
300.475,49.95,0.315238005,0.05
301.45,50,0.287228132,0
302.45,50,0.287228132,0
303.45,50,0.287228132,0
304.45,49.9,0.287228132,7.11E-15
305.45,49.76,0.287228132,0.066332496
306.45,49.79,0.287228132,0.03
307.45,49.8,0.287228132,0
308.45,49.92,0.287228132,0.04
309.45,50,0.287228132,0
310.45,49.94,0.287228132,0.048989795
311.45,49.96,0.287228132,0.048989795
312.45,49.84,0.287228132,0.048989795
313.45,49.88,0.287228132,0.04
314.45,49.86,0.287228132,0.048989795
315.45,49.8,0.287228132,0
316.45,49.74,0.287228132,0.048989795
317.45,49.8,0.287228132,0
318.45,49.75,0.287228132,0.05
319.45,49.77,0.287228132,0.045825757
320.45,49.8,0.287228132,0
321.45,49.87,0.287228132,0.045825757
322.45,49.9,0.287228132,7.11E-15
323.45,49.98,0.287228132,0.04
324.45,49.98,0.287228132,0.04
325.45,50.07,0.287228132,0.045825757
326.45,50.13,0.287228132,0.045825757
327.45,50.19,0.287228132,0.03
328.45,50.16,0.287228132,0.066332496
329.45,49.51,0.287228132,0.34190642
330.45,47.86,0.287228132,0.628012739
331.45,45.31,0.287228132,0.820304821
332.4333333,42.4,0.298142397,0.894427191
333.45,39.36,0.287228132,0.846404159
334.45,36.46,0.287228132,0.846404159
335.45,33.66,0.287228132,0.783836718
336.45,31.01,0.287228132,0.73
337.45,28.63,0.287228132,0.660378679
338.45,26.39,0.287228132,0.639452891
339.45,24.35,0.287228132,0.531507291
340.45,22.45,0.287228132,0.574891294
341.45,20.74,0.287228132,0.443170396
342.45,19.29,0.287228132,0.375366488
343.45,17.86,0.287228132,0.41521079
344.45,16.39,0.287228132,0.434626276
345.45,14.93,0.287228132,0.431393092
346.45,13.34,0.287228132,0.422374242
347.45,12.08,0.287228132,0.324961536
348.45,10.8,0.287228132,0.435889894
349.45,9.47,0.287228132,0.31638584
350.45,8.39,0.287228132,0.347706773
351.45,7.17,0.287228132,0.376961536
352.45,5.89,0.287228132,0.338969025
353.45,4.89,0.287228132,0.246779254
354.45,4.08,0.287228132,0.231516738
355.45,3.34,0.287228132,0.210713075
356.45,2.82,0.287228132,0.087177979
357.45,2.65,0.287228132,0.05
358.45,2.5,0.287228132,0.063245553
359.45,2.33,0.287228132,0.045825757
360.45,2.15,0.287228132,0.05
361.45,1.95,0.287228132,0.05
362.45,1.77,0.287228132,0.064031242
363.45,1.59,0.287228132,0.07
364.45,1.41,0.287228132,0.07
365.45,1.21,0.287228132,0.07
366.45,1.03,0.287228132,0.064031242
367.45,0.84,0.287228132,0.048989795
368.45,0.8,0.287228132,0
369.45,0.78,0.287228132,0.04
370.45,0.8,0.287228132,0
371.45,0.77,0.287228132,0.045825757
372.45,0.58,0.287228132,0.074833148
373.45,0.46,0.287228132,0.048989795
